,Date,City,Country,Latitude,Longitude,Cloudiness,Maximum Temperature,Pressure,Humidity,Wind Speed
54,1/1/1970,Kaitangata,NZ,-46.2817,169.8464,14,59.94,1017,73,4.68
55,1/1/1970,Port Hardy,CA,50.6996,-127.4199,75,42.98,1008,87,6.91
56,1/1/1970,Tuktoyaktuk,CA,69.4541,-133.0374,14,10.26,1018,90,9.69
57,1/1/1970,Atuona,PF,-9.8,-139.0333,35,78.31,1013,70,19.71
58,1/1/1970,Amahai,ID,-3.3333,128.9167,78,79.97,1008,81,3.47
59,1/1/1970,Gairo,IT,39.8497,9.5047,98,51.01,1014,95,5.06
60,1/1/1970,Pierre,US,44.3683,-100.351,1,67.86,1008,41,4
61,1/1/1970,Ilulissat,GL,69.2167,-51.1,20,17.62,1012,49,13.8
62,1/1/1970,Ulety,RU,51.3572,112.4849,65,15.67,1032,42,8.21
63,1/1/1970,Makakilo City,US,21.3469,-158.0858,75,86.32,1019,58,10.36
64,1/1/1970,Poddor'ye,RU,57.4695,31.1156,98,40.39,1007,76,13.33
65,1/1/1970,Elizabeth City,US,36.2946,-76.2511,90,60.98,1020,90,1.01
66,1/1/1970,Praia da Vitória,PT,38.7333,-27.0667,40,69.76,1024,88,22.82
67,1/1/1970,Port Elizabeth,ZA,-33.918,25.5701,90,62.1,1016,88,5.75
68,1/1/1970,Gizo Government Station,SB,-8.103,156.8419,3,83.71,1010,70,5.57
69,1/1/1970,Taoudenni,ML,22.6783,-3.9836,1,78.76,1012,17,6.71
70,1/1/1970,Raudeberg,NO,61.9875,5.1352,100,43.47,993,81,3
71,1/1/1970,Sehithwa,BW,-20.4667,22.7167,50,80.38,1009,41,4.43
72,1/1/1970,El Higo,MX,21.7667,-98.4667,97,76.44,1019,64,4.34
73,1/1/1970,Swan River,CA,52.1058,-101.2676,65,49.89,1006,50,9.22
74,1/1/1970,Albany,US,42.6001,-73.9662,0,45.45,1024,64,3.56
75,1/1/1970,Faanui,PF,-16.4833,-151.75,89,80.37,1013,69,5.08
76,1/1/1970,Grindavik,IS,63.8424,-22.4338,90,37.35,1006,87,16.11
77,1/1/1970,Bengkulu,ID,-3.8004,102.2655,100,75.7,1007,91,14.25
78,1/1/1970,Esso,RU,55.9333,158.7,76,9.27,1022,99,4.09
79,1/1/1970,Padang,ID,-0.9492,100.3543,100,75.09,1009,95,3.67
80,1/1/1970,Banda Aceh,ID,5.5577,95.3222,100,76.84,1006,85,7.07
81,1/1/1970,Plettenberg Bay,ZA,-34.0527,23.3716,100,59.5,1018,75,3.13
82,1/1/1970,Ribeira Grande,PT,38.5167,-28.7,45,69.53,1023,88,27.04
83,1/1/1970,Katete,UG,-0.7818,29.7544,99,62.69,1012,87,2.39
84,1/1/1970,Hobart,AU,-42.8794,147.3294,40,58.05,1006,59,1.99
85,1/1/1970,Vao,NC,-22.6667,167.4833,93,69.22,1014,60,8.08
86,1/1/1970,Hermanus,ZA,-34.4187,19.2345,20,57.9,1018,73,5.06
87,1/1/1970,Avarua,CK,-21.2078,-159.775,40,77.05,1016,61,12.66
88,1/1/1970,Homer,US,59.6425,-151.5483,90,36.09,1003,84,0
89,1/1/1970,Chokurdakh,RU,70.6333,147.9167,99,-1.28,1004,95,8.52
90,1/1/1970,Lompoc,US,34.6391,-120.4579,1,76.1,1016,63,13.8
91,1/1/1970,Mar del Plata,AR,-38.0023,-57.5575,0,57.09,1023,81,3
92,1/1/1970,Ahipara,NZ,-35.1667,173.1667,2,67.23,1016,66,1.92
93,1/1/1970,Katesh,TZ,-4.5167,35.3833,12,61.79,1013,47,5.68
94,1/1/1970,Lyngseidet,NO,69.5763,20.2189,100,34.47,1003,77,10.67
95,1/1/1970,Hilo,US,19.7297,-155.09,20,82.13,1019,64,5.75
96,1/1/1970,Apatzingán,MX,19.0833,-102.35,94,86.76,1011,54,3.11
97,1/1/1970,Cherskiy,RU,68.75,161.3,100,15.89,1002,79,14.65
98,1/1/1970,Santa Isabel Rio Negro,BR,-0.4139,-65.0192,94,81.93,1006,70,2.51
99,1/1/1970,Korla,CN,41.7597,86.1469,0,24.37,1042,44,4.85
100,1/1/1970,Saint George,US,37.1041,-113.5841,1,82.87,1017,24,1.99
101,1/1/1970,Kutum,SD,14.2,24.6667,1,72.25,1012,28,8.63
102,1/1/1970,Rawson,AR,-43.3002,-65.1023,4,72.48,1012,24,33.55
103,1/1/1970,Ust-Kuyga,RU,70.0167,135.6,98,-11.92,1009,100,4.99
104,1/1/1970,Qaanaaq,GL,77.484,-69.3632,99,6.87,1018,72,7.67
105,1/1/1970,Alofi,NU,-19.0595,-169.9187,28,80.49,1014,78,13.8
106,1/1/1970,Vostok,RU,46.4856,135.8833,100,13.03,1032,91,1.92
107,1/1/1970,Pevek,RU,69.7008,170.3133,39,-3.33,1006,83,11.34
108,1/1/1970,Quatre Cocos,MU,-20.2078,57.7625,91,75.31,1014,76,10.98
109,1/1/1970,Sovetskiy,RU,61.3614,63.5842,100,34.86,1000,93,11.63
110,1/1/1970,Aykhal,RU,66,111.5,100,-1.21,1012,100,9.22
111,1/1/1970,Ixtapa,MX,20.7,-105.2,18,84.22,1009,82,5.01
112,1/1/1970,Katsuura,JP,35.1333,140.3,100,59.18,1023,83,7.81
113,1/1/1970,Liberty,US,31.8335,-81.5004,75,48.52,1015,43,1.99
114,1/1/1970,Cape Town,ZA,-33.9258,18.4232,0,59.27,1019,70,3
115,1/1/1970,Chumikan,RU,54.7183,135.315,1,18.36,1020,53,24.47
116,1/1/1970,Bredasdorp,ZA,-34.5322,20.0403,57,54.72,1019,76,4.61
117,1/1/1970,Bilma,NE,18.6853,12.9164,39,78.42,1012,15,4.59
118,1/1/1970,Beira,MZ,-19.8436,34.8389,20,77.09,1010,88,6.91
119,1/1/1970,Airai,TL,-8.9266,125.4092,50,63.84,1010,81,1.68
120,1/1/1970,Novoraychikhinsk,RU,49.7798,129.594,4,8.44,1031,92,2.08
121,1/1/1970,Yulara,AU,-25.2406,130.9889,90,67.84,1012,83,2.3
122,1/1/1970,Ballina,AU,-28.8667,153.5667,93,73.78,1013,78,4.65
123,1/1/1970,Rio de Janeiro,BR,-22.9028,-43.2075,40,72.91,1017,74,12.66
124,1/1/1970,Karakol,KG,42.4907,78.3936,6,16.79,1038,62,7.54
125,1/1/1970,Lüderitz,NA,-26.6481,15.1594,84,59.27,1014,71,18.84
126,1/1/1970,Galeana,MX,24.8333,-100.0667,1,61.68,1020,53,6.93
127,1/1/1970,Canyon,US,34.9803,-101.9188,3,82,1013,19,16.6
128,1/1/1970,Iqaluit,CA,63.7506,-68.5145,75,22.73,1005,73,11.01
129,1/1/1970,Samarai,PG,-10.6167,150.6667,69,83.73,1009,74,15.41
130,1/1/1970,Ipojuca,BR,-8.3989,-35.0639,14,82.31,1010,83,10.85
131,1/1/1970,Hervey Bay,AU,-25.2986,152.8535,44,77.04,1014,67,10.58
132,1/1/1970,Touros,BR,-5.1989,-35.4608,60,83.3,1010,80,12.28
133,1/1/1970,Hemsedal,NO,60.8629,8.5534,100,35.31,1001,96,3.83
134,1/1/1970,Atikokan,CA,48.7555,-91.6216,10,51.03,1009,70,9.37
135,1/1/1970,Bopfingen,DE,48.85,10.35,1,37.09,1024,93,4.18
136,1/1/1970,Upernavik,GL,72.7868,-56.1549,68,14.54,1014,84,10.51
137,1/1/1970,Praia,CV,14.9215,-23.5087,20,77.54,1013,78,14.97
138,1/1/1970,Olden,NO,61.8364,6.8064,100,37,998,79,8.3
139,1/1/1970,Bambous Virieux,MU,-20.3428,57.7575,40,75.45,1015,83,4.61
140,1/1/1970,Hanoi,VN,21.0245,105.8412,25,77,1009,93,3.65
141,1/1/1970,Arrondissement de Parthenay,FR,46.6667,-0.4167,85,40.12,1030,88,4.72
142,1/1/1970,Chittarkonda,IN,18.1167,82.0833,99,65.37,1010,91,1.9
143,1/1/1970,Yicheng,CN,31.3705,119.8703,100,63.81,1017,91,7.7
144,1/1/1970,Rocha,UY,-34.4833,-54.3333,49,54.86,1021,79,5.46
145,1/1/1970,Nagapattinam,IN,10.7667,79.8333,100,75.9,1006,91,8.9
146,1/1/1970,Innisfail,AU,-17.5333,146.0333,90,78.22,1012,70,0.87
147,1/1/1970,George Town,MY,5.4112,100.3354,20,80.53,1005,90,2.3
148,1/1/1970,Juneau,US,58.3019,-134.4197,75,46.22,1006,92,8.05
149,1/1/1970,Fort Nelson,CA,58.8053,-122.7002,90,31.59,1003,93,4.61
150,1/1/1970,Nambucca Heads,AU,-30.65,153,100,75.99,1011,71,3
151,1/1/1970,Sierpc,PL,52.8568,19.6691,82,43.56,1021,82,14.12
152,1/1/1970,Ketchikan,US,55.3422,-131.6461,20,43.27,1007,87,0
153,1/1/1970,Tiksi,RU,71.6872,128.8694,100,-2.09,1002,88,14.5
154,1/1/1970,Dryden,CA,49.7833,-92.7503,1,52.09,1008,66,11.5
155,1/1/1970,Atasū,KZ,48.6814,71.6433,95,25.57,1038,22,2.62
156,1/1/1970,Fukuechō,JP,32.6881,128.8419,0,66.2,1017,68,14.03
157,1/1/1970,Flinders,AU,-34.5833,150.8552,77,68.2,1009,71,2.46
158,1/1/1970,Sandwick,GB,60,-1.25,90,49.82,992,81,32.21
159,1/1/1970,Cidreira,BR,-30.1811,-50.2056,100,64.92,1017,80,14.7
160,1/1/1970,Sisimiut,GL,66.9395,-53.6735,22,20.23,1013,74,11.63
161,1/1/1970,Bethel,US,41.3712,-73.414,0,47.48,1023,64,1.7
162,1/1/1970,Harper,LR,4.375,-7.7169,69,78.75,1011,84,6.98
163,1/1/1970,Seydi,TM,39.4816,62.9137,6,34.66,1028,29,6.35
164,1/1/1970,Inta,RU,66.0317,60.1659,100,35.8,987,98,18.52
165,1/1/1970,Paamiut,GL,61.994,-49.6678,80,24.51,1011,84,9.4
166,1/1/1970,Makkah al Mukarramah,SA,21.4267,39.8261,0,78.35,1010,63,2.64
167,1/1/1970,Hong Gai,VN,20.956,107.0946,27,76.91,1010,94,3.15
168,1/1/1970,Taltal,CL,-25.4,-70.4833,23,64.72,1016,67,6.29
169,1/1/1970,Cap Malheureux,MU,-19.9842,57.6142,53,75.69,1015,79,3
170,1/1/1970,Melfi,IT,40.9965,15.6514,100,59.49,1022,98,3.31
171,1/1/1970,Kapaa,US,22.0752,-159.319,1,82.38,1020,73,1.99
172,1/1/1970,São Miguel do Araguaia,BR,-13.275,-50.1628,100,75.96,1008,87,2.84
173,1/1/1970,Voyvozh,RU,62.892,54.9635,99,37.26,993,94,9.64
174,1/1/1970,Chegutu,ZW,-18.1302,30.1407,31,75.09,1012,30,6.53
175,1/1/1970,Linxia Chengguanzhen,CN,35.6003,103.2064,81,12.04,1049,86,1.79
176,1/1/1970,Nyimba,ZM,-14.5566,30.8149,21,80.87,1009,32,7.14
177,1/1/1970,Hefei,CN,31.8639,117.2808,90,48.22,1019,100,22.37
178,1/1/1970,Bayonet Point,US,28.3267,-82.6834,99,62.55,1016,88,5.01
179,1/1/1970,Ushtobe,KZ,45.2514,77.9838,5,13.15,1039,90,6.55
180,1/1/1970,Chui,UY,-33.6971,-53.4616,32,58.51,1020,69,8.9
181,1/1/1970,General Pico,AR,-35.6566,-63.7568,96,57.04,1021,47,8.16
182,1/1/1970,Saskylakh,RU,71.9167,114.0833,90,4.55,999,93,9.19
183,1/1/1970,Kavieng,PG,-2.5744,150.7967,66,84.25,1009,73,16.71
184,1/1/1970,Khilok,RU,51.3674,110.4676,76,13.21,1034,50,4.65
185,1/1/1970,Trybukhivtsi,UA,49.0436,25.4581,38,39.24,1028,72,3.42
186,1/1/1970,Talara,PE,-4.5772,-81.2719,40,68.76,1011,77,20.71
187,1/1/1970,Sibolga,ID,1.7427,98.7792,99,75.11,1008,92,1.28
188,1/1/1970,Lere,NG,10.387,8.5726,93,72.97,1011,31,2.64
189,1/1/1970,Léo,BF,11.1,-2.1,60,82.15,1009,40,5.3
190,1/1/1970,Kiryat Gat,IL,31.61,34.7642,1,72.39,1013,50,1.01
191,1/1/1970,Kamenka,RU,51.3223,42.7678,95,46.78,1018,81,8.75
192,1/1/1970,Ancud,CL,-41.8697,-73.8203,23,59.43,1020,74,10.47
193,1/1/1970,Henties Bay,NA,-22.116,14.2845,4,58.44,1013,90,8.88
194,1/1/1970,Nabire,ID,-3.3667,135.4833,100,76.57,1009,91,2.55
195,1/1/1970,Torbay,CA,47.6666,-52.7314,75,41.27,1016,78,14.97
196,1/1/1970,Labuhan,ID,-6.8844,112.2051,95,81.36,1006,73,1.07
197,1/1/1970,Ciudad Bolivar,VE,8.1222,-63.5497,100,84.65,1010,59,9.91
198,1/1/1970,Walvis Bay,NA,-22.9575,14.5053,0,58.15,1013,77,4.61
199,1/1/1970,Narsaq,GL,60.9167,-46.05,100,28.62,1013,81,8.93
200,1/1/1970,Zhezkazgan,KZ,47.8043,67.7144,9,26.4,1038,21,4.61
201,1/1/1970,Cândido Mendes,BR,-1.4467,-45.7167,72,79.14,1009,82,5.84
202,1/1/1970,Tuatapere,NZ,-46.1333,167.6833,98,62.15,1016,54,0.87
203,1/1/1970,Ustrzyki Dolne,PL,49.4304,22.5938,16,38.12,1027,100,4.72
204,1/1/1970,Mindelo,CV,16.8901,-24.9804,40,76.55,1014,69,21.85
205,1/1/1970,Kostomuksha,RU,64.571,30.5767,100,32.52,994,96,7.23
206,1/1/1970,Ponoka,CA,52.6768,-113.5815,68,43.88,1006,35,8.63
207,1/1/1970,Oistins,BB,13.0667,-59.5333,40,80.69,1012,78,13.8
208,1/1/1970,Atar,MR,20.5169,-13.0499,9,77.81,1013,28,7.72
209,1/1/1970,Lhokseumawe,ID,5.1801,97.1507,100,77.56,1006,87,5.39
210,1/1/1970,Pamyat' Parizhskoy Kommuny,RU,56.1048,44.4952,53,42.75,1009,77,11.48
211,1/1/1970,Hong Kong,HK,22.2855,114.1577,0,78.33,1011,88,1.99
212,1/1/1970,Capreol,CA,46.706,-80.9225,20,46.54,1018,69,5.01
213,1/1/1970,Mossamedes,AO,-15.1961,12.1522,86,70.36,1011,81,5.23
214,1/1/1970,Verkhnevilyuysk,RU,63.4453,120.3167,98,0.73,1017,99,2.8
215,1/1/1970,Emba,KZ,48.8264,58.1442,16,29.1,1035,23,8.66
216,1/1/1970,Mogadishu,SO,2.0371,45.3438,17,78.73,1010,79,10.22
217,1/1/1970,Mugan,CN,35.9404,101.3842,0,18.88,1040,34,8.88
218,1/1/1970,Palmas de Monte Alto,BR,-14.2672,-43.1619,92,81.34,1008,57,0.69
219,1/1/1970,Kampot,KH,10.6167,104.1833,92,77.05,1007,92,3.71
220,1/1/1970,Qandala,SO,11.472,49.8728,20,79.5,1011,48,3.62
221,1/1/1970,Nioki,CD,-2.7167,17.6833,100,71.46,1009,98,1.99
222,1/1/1970,Sept-Îles,CA,50.2001,-66.3821,40,45.05,1013,68,10
223,1/1/1970,Lagoa,PT,39.05,-27.9833,100,68.18,1024,86,28.7
224,1/1/1970,Mount Gambier,AU,-37.8333,140.7667,36,54.66,1012,55,5.5
225,1/1/1970,Sinnamary,GF,5.3833,-52.95,100,79.23,1010,85,7.38
226,1/1/1970,Assiniboia,CA,49.6334,-105.9845,92,53.51,1011,26,13.8
227,1/1/1970,Beringovskiy,RU,63.05,179.3167,84,14.22,1015,92,6.91
228,1/1/1970,Ponta do Sol,PT,32.6667,-17.1,61,69.71,1024,61,8.7
229,1/1/1970,Lázaro Cárdenas,MX,17.9583,-102.2,98,83.16,1010,75,8.72
230,1/1/1970,Merauke,ID,-8.4667,140.3333,75,81.19,1009,77,8.79
231,1/1/1970,San Patricio,US,28.017,-97.5169,0,75.29,1021,40,5.28
232,1/1/1970,Bajil,YE,15.0584,43.2851,40,83.53,1009,54,2.19
233,1/1/1970,Lavrentiya,RU,65.5833,-171,0,4.37,1014,77,7.29
234,1/1/1970,Nemuro,JP,43.3236,145.575,70,49.37,1023,82,14.65
235,1/1/1970,Garoowe,SO,8.4054,48.4845,29,70.47,1012,77,7.61
236,1/1/1970,Faya,SA,18.3851,42.4509,0,57.72,1015,54,2.44
237,1/1/1970,Nālūt,LY,30.3333,10.85,74,66.79,1014,40,8.66
238,1/1/1970,Shelburne,CA,44.0787,-80.2041,91,44.67,1023,65,10.07
239,1/1/1970,Daru,PG,-9.0763,143.2092,46,82.74,1009,78,5.68
240,1/1/1970,Bubaque,GW,11.2833,-15.8333,26,84.09,1011,74,9.4
241,1/1/1970,Nānākuli,US,21.3906,-158.1547,75,87.75,1019,56,10.36
242,1/1/1970,Talnakh,RU,69.4865,88.3972,100,17.56,992,93,22.57
243,1/1/1970,Kahului,US,20.8947,-156.47,20,87.82,1018,62,24.16
244,1/1/1970,Lebu,CL,-37.6167,-73.65,24,54.81,1021,83,15.26
245,1/1/1970,Norman Wells,CA,65.282,-126.8329,75,26.64,1012,100,9.22
246,1/1/1970,Lingsugūr,IN,16.1667,76.5167,84,70.72,1009,71,6.85
247,1/1/1970,Manaus,BR,-3.1019,-60.025,75,75.7,1009,100,1.14
248,1/1/1970,Vardø,NO,70.3705,31.1107,100,34.79,1001,57,17.76
249,1/1/1970,Betafo,MG,-19.8333,46.85,8,61.47,1016,87,3.71
250,1/1/1970,Carnarvon,AU,-24.8667,113.6333,2,64.47,1009,77,19.57
251,1/1/1970,Liverpool,GB,53.4106,-2.9779,40,53.76,1016,76,10
252,1/1/1970,Mafeteng,LS,-29.823,27.2374,99,61.61,1012,25,3.13
253,1/1/1970,Hambantota,LK,6.1241,81.1185,100,78.4,1007,81,10.94
254,1/1/1970,Shache,CN,38.4167,77.2406,31,30.15,1039,32,1.16
255,1/1/1970,Katherine,AU,-14.4667,132.2667,90,75.52,1009,94,5.75
256,1/1/1970,Hamilton,US,39.1834,-84.5333,1,56.64,1023,46,0
257,1/1/1970,Namatanai,PG,-3.6667,152.4333,72,83.39,1010,71,9.69
258,1/1/1970,Viedma,AR,-40.8135,-62.9967,92,65.23,1019,29,17.92
259,1/1/1970,Westport,US,41.1415,-73.3579,1,49.98,1025,63,1.01
260,1/1/1970,Kondinskoye,RU,59.6481,67.41,100,35.35,1007,88,16.17
261,1/1/1970,Ürümqi,CN,43.801,87.6005,0,14.95,1038,73,2.24
262,1/1/1970,Cabo San Lucas,MX,22.8909,-109.9124,20,89.51,1015,39,3.44
263,1/1/1970,Buckeye,US,33.3703,-112.5838,0,92.16,1015,17,4.61
264,1/1/1970,Souillac,MU,-20.5167,57.5167,40,75.58,1015,83,4.61
265,1/1/1970,Semporna,MY,4.4818,118.6112,61,75.4,1007,86,4.54
266,1/1/1970,Husavik,IS,66.0449,-17.3389,100,33.71,1006,99,8.72
267,1/1/1970,Sterling,US,39.0062,-77.4286,75,53.58,1027,62,4.61
268,1/1/1970,Vila Franca do Campo,PT,37.7167,-25.4333,25,69.19,1027,80,16.98
269,1/1/1970,Mount Isa,AU,-20.7333,139.5,40,82.17,1009,54,6.91
270,1/1/1970,Necochea,AR,-38.5473,-58.7368,99,53.04,1023,56,11.9
271,1/1/1970,Bud,US,39.447,-86.1758,0,57.15,1023,50,4.32
272,1/1/1970,Port Lincoln,AU,-34.7333,135.8667,100,55.62,1013,61,6.89
273,1/1/1970,Abu Samrah,SY,35.3029,37.1841,0,64.06,1016,43,1.95
274,1/1/1970,Tual,ID,-5.6667,132.75,85,83.61,1008,72,1.86
275,1/1/1970,Kouqian,CN,43.6391,126.4578,100,24.73,1032,86,4.47
276,1/1/1970,Iglesias,IT,39.3114,8.535,56,56.75,1012,90,3.62
277,1/1/1970,Finschhafen,PG,-6.6024,147.8681,24,82.8,1011,68,5.17
278,1/1/1970,Itoman,JP,26.1247,127.6694,40,75.97,1011,85,10.36
279,1/1/1970,Vestmanna,FO,62.1564,-7.1664,90,45.52,987,100,5.75
280,1/1/1970,Saint-Augustin,CA,51.226,-58.6502,93,36.9,1012,71,10.36
281,1/1/1970,Longyearbyen,SJ,78.2186,15.6401,40,13.84,1008,67,3.44
282,1/1/1970,Turukhansk,RU,65.8167,87.9833,100,28.22,996,96,22.75
283,1/1/1970,Cravo Norte,CO,6.3017,-70.2041,98,83.01,1008,68,5.59
284,1/1/1970,Øksfjord,NO,70.2396,22.3479,100,29.32,1004,90,7.76
285,1/1/1970,El Tigre,VE,8.8875,-64.2454,100,82.9,1010,56,11.48
286,1/1/1970,Yangi Marg`ilon,UZ,40.4272,71.7189,0,33.22,1027,50,2.95
287,1/1/1970,Coos Bay,US,43.3665,-124.2179,20,55.85,1020,83,14.97
288,1/1/1970,Iwanai,JP,42.9744,140.5089,98,45.88,1024,83,4.43
289,1/1/1970,Yichang,CN,30.7144,111.2847,100,52,1022,73,7
290,1/1/1970,Simplício Mendes,BR,-7.8539,-41.9103,90,76.21,1010,82,9.24
291,1/1/1970,Metro,ID,-5.1131,105.3067,100,75.27,1006,91,2.21
292,1/1/1970,Broken Hill,AU,-31.95,141.4333,100,62.02,1009,68,16.33
293,1/1/1970,Kuril'sk,RU,45.2333,147.8833,26,43.86,1021,79,10
294,1/1/1970,Santa Cruz de La Palma,ES,28.6835,-17.7642,75,69.94,1021,52,12.66
295,1/1/1970,Novoagansk,RU,61.9449,76.6625,100,33.35,1002,97,17.54
296,1/1/1970,Al Bardīyah,LY,31.7561,25.0865,25,70.11,1017,75,8.57
297,1/1/1970,Porto-Novo,BJ,6.4965,2.6036,100,80.42,1010,82,6.98
298,1/1/1970,Brikama,GM,13.2714,-16.6494,40,80.64,1010,89,5.75
299,1/1/1970,Avera,US,33.194,-82.5271,100,52.75,1018,33,16.42
300,1/1/1970,Dunedin,NZ,-45.8742,170.5036,19,52.81,1000,83,5.99
301,1/1/1970,Yeppoon,AU,-23.1333,150.7333,43,80.38,1013,66,11.45
302,1/1/1970,Moyale,KE,3.5167,39.0584,95,72.01,1010,65,6.35
303,1/1/1970,Klaksvík,FO,62.2266,-6.589,100,47.32,984,95,12.03
304,1/1/1970,Pisco,PE,-13.7,-76.2167,0,68.05,1012,73,20.71
305,1/1/1970,Mtsamboro,YT,-12.6998,45.0689,92,78.12,1011,81,8.63
306,1/1/1970,Vila,PT,42.0304,-8.1588,50,43.93,1031,88,4.54
307,1/1/1970,Zhangaözen,KZ,43.3,52.8,0,33.42,1030,21,9.35
308,1/1/1970,Alice Springs,AU,-23.7,133.8833,40,69.35,1012,88,3.44
309,1/1/1970,Verkh-Chebula,RU,56.0308,87.6218,85,22.06,1030,83,17.98
310,1/1/1970,Magdagachi,RU,53.45,125.8,77,12.63,1028,47,2.53
311,1/1/1970,Russell,US,32.3502,-85.1999,1,61.97,1019,25,12.66
312,1/1/1970,Yerbogachën,RU,61.2767,108.0108,93,6.03,1021,99,5.41
313,1/1/1970,Ardatov,RU,55.2421,43.097,94,42.82,1011,78,13.13
314,1/1/1970,Lata,PT,40.1629,-8.3327,3,52.81,1029,69,4.07
315,1/1/1970,Tortolì,IT,39.9256,9.6572,40,58.82,1012,72,16.11
316,1/1/1970,Rivers,CA,50.0308,-100.2403,63,58.15,1007,33,6.24
